Subjective_Company,Objective_Company,Relation,Times
InBev NV,Acquire,Anheuser-Busch Cos.,1
Saieh,Own,SMU SA,1
Shire,Acquire,SARcode Bioscience Inc.,1
Amgen,Acquire,Onyx Pharmaceuticals Inc.,1
Andresen,Own,Ferd,1
Kmart,Merge,Sears Roebuck,1
Raiffeisen,Acquire,Austria,1
American Apparel,Invest_In,Sebag,1
Facebook,Own,Eric Steiman,1
Gates,Acquire,Tomkins Ltd,1
Verizon,Acquire,Vodafone Group Plc,2
Stryker,Acquire,OtisMed Corp.,1
Novatek,Acquire,Rosneft,1
BP,Acquire,OAO Rosneft,1
Value LP,Acquire,Staples Inc.,1
McGraw-Hill Cos.,Own,CMA,1
Stephenson,Invest_In,Comcast,1
Metro Pacific Investments Corp,Own,Maynilad,1
Sebag,Invest_In,American Apparel,1
Fiat,Acquire,Chrysler,1
Actavis Plc,Acquire,Forest Laboratories Inc.,1
Ulster Bank,Merge,Permanent TSB Group Holdings Plc.,1
BNSF Railroad Co,Own,Warren Buffett,1
Telefonica,Acquire,Royal KPN NV,1
Carlyle,Invest_In,TCW Group Inc,1
Hewlett-Packard,Acquire,Autonomy Corp,1
Barrick,Acquire,Lumwana,1
Oracle,Acquire,Pillar Data Systems Inc.,1
KKR & Co.,Acquire,Oriental Brewery,1
Verizon Communications Inc,Acquire,Vodafone Group Plc,1
Haitong Securities Co,Acquire,Novo Banco SA,1
Starboard Value LP,Acquire,Staples Inc.,1
Warren Buffett,Own,BNSF Railroad Co,1
Apple,Acquire,PrimeSense Ltd,1
Gertler,Own,Nessergy Ltd,1
Aegon,Acquire,Banco Santander Totta SA,1
Ferd,Own,Andresen,1
Tomkins Ltd,Acquire,Gates,1
Lumwana,Acquire,Equinox Minerals Ltd.,1
Molson Coors Brewing Co,Acquire,Czech,1
Eric Steiman,Own,Facebook,1
Cisco,Acquire,NDS Group Ltd.,1
Phibro,Acquire,Occidental,1
Baron Benjamin de Rothschild,Acquire,Acquisition LLC,1
Livingston,Acquire,Lehman Brothers Global Asset Management Ltd,1
Diageo,Acquire,United Spirits,1
Blackstone,Acquire,Hilton,2
Facebook,Own,Instagram,1
